Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte,data
Calabria,253,32329,9029,469,294,3%,274,14,0.4&,20,1.04,-4.8%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12,2021-01-29
Campania,1175,219418,61642,1065,1520,2%,1425,25,-3.3&,95,1.64,-3.1%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12,2021-01-29
Emilia-Romagna,1320,216065,47345,1060,2381,5%,2172,49,-3.1&,209,4.68,0%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12,2021-01-29
Friuli Venezia Giulia,557,66723,11371,939,664,6%,605,50,-2.3&,59,4.87,0%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12,2021-01-29
Lazio,1160,203367,64237,1095,2727,4%,2438,42,-0.8&,289,4.93,0%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12,2021-01-29
Liguria,338,69106,4305,279,655,15%,591,38,0.5&,64,4.15,-4.5%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12,2021-01-29
Lombardia,1900,534784,49514,490,3869,8%,3490,35,-1.3&,379,3.75,2.2%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12,2021-01-29
Marche,371,54660,9007,593,613,7%,540,36,-2&,73,4.81,4.3%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12,2021-01-29
Molise,79,8178,1071,354,61,6%,53,18,10.4&,8,2.65,-11.1%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12,2021-01-29
P.A. Bolzano,590,39060,14862,2793,249,2%,219,41,1.4&,30,5.64,0%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12,2021-01-29
P.A. Trento,307,27162,2371,437,221,9%,187,34,-2.1&,34,6.26,0%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12,2021-01-29
Piemonte,944,221832,12537,289,2313,18%,2163,50,-1.4&,150,3.46,-0.7%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12,2021-01-29
Puglia,1069,120967,52278,1304,1569,3%,1401,35,0.5&,168,4.19,-2.9%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12,2021-01-29
Sardegna,257,38141,16087,987,493,3%,453,28,-2.6&,40,2.45,-7%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12,2021-01-29
Sicilia,944,134541,44267,891,1584,4%,1373,28,-2.3&,211,4.25,-1.9%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12,2021-01-29
Toscana,594,133343,9002,242,759,8%,659,18,-1.9&,100,2.69,0%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12,2021-01-29
Umbria,335,35529,5477,622,402,7%,349,40,3.3&,53,6.02,-1.9%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12,2021-01-29
Valle d'Aosta,8,7780,253,202,40,16%,36,29,-12.2&,4,3.19,0%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12,2021-01-29
Veneto,985,310894,36965,753,1749,5%,1509,31,-5.6&,240,4.89,-3.6%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12,2021-01-29
Abruzzo,385,42444,10117,775,432,4%,389,30,0&,43,3.29,7.5%,Dati della Protezione Civile del 30 Gennaio 2021 ore 19:37,2021-01-30
Basilicata,70,13202,5752,1033,72,1%,70,13,-1.4&,2,0.36,-50%,Dati della Protezione Civile del 30 Gennaio 2021 ore 19:37,2021-01-30
Calabria,225,32554,8895,462,290,3%,272,14,-0.7&,18,0.94,-10%,Dati della Protezione Civile del 30 Gennaio 2021 ore 19:37,2021-01-30
Campania,1366,220784,61656,1066,1527,2%,1435,25,0.7&,92,1.59,-3.2%,Dati della Protezione Civile del 30 Gennaio 2021 ore 19:37,2021-01-30
Emilia-Romagna,1314,217377,46359,1038,2327,5%,2124,48,-2.2&,203,4.54,-2.9%,Dati della Protezione Civile del 30 Gennaio 2021 ore 19:37,2021-01-30
Friuli Venezia Giulia,415,67138,11294,932,653,6%,596,49,-1.5&,57,4.71,-3.4%,Dati della Protezione Civile del 30 Gennaio 2021 ore 19:37,2021-01-30
Lazio,1138,204505,63795,1088,2689,4%,2407,41,-1.3&,282,4.81,-2.4%,Dati della Protezione Civile del 30 Gennaio 2021 ore 19:37,2021-01-30
Liguria,255,69361,4395,285,650,15%,588,38,-0.5&,62,4.02,-3.1%,Dati della Protezione Civile del 30 Gennaio 2021 ore 19:37,2021-01-30
Lombardia,1832,536616,50141,496,3831,8%,3454,34,-1&,377,3.73,-0.5%,Dati della Protezione Civile del 30 Gennaio 2021 ore 19:37,2021-01-30
Marche,465,55125,9160,603,613,7%,542,36,0.4&,71,4.68,-2.7%,Dati della Protezione Civile del 30 Gennaio 2021 ore 19:37,2021-01-30
Molise,83,8261,1115,369,62,6%,54,18,1.9&,8,2.65,0%,Dati della Protezione Civile del 30 Gennaio 2021 ore 19:37,2021-01-30
P.A. Bolzano,640,39700,15331,2881,248,2%,216,41,-1.4&,32,6.01,6.7%,Dati della Protezione Civile del 30 Gennaio 2021 ore 19:37,2021-01-30
P.A. Trento,230,27392,2465,454,208,8%,173,32,-7.5&,35,6.45,2.9%,Dati della Protezione Civile del 30 Gennaio 2021 ore 19:37,2021-01-30
Piemonte,727,222559,12382,285,2277,18%,2127,49,-1.7&,150,3.46,0%,Dati della Protezione Civile del 30 Gennaio 2021 ore 19:37,2021-01-30
Puglia,871,121838,52157,1301,1552,3%,1389,35,-0.9&,163,4.07,-3%,Dati della Protezione Civile del 30 Gennaio 2021 ore 19:37,2021-01-30
Sardegna,229,38370,15951,978,489,3%,450,28,-0.7&,39,2.39,-2.5%,Dati della Protezione Civile del 30 Gennaio 2021 ore 19:37,2021-01-30
Sicilia,846,135387,42868,863,1553,4%,1345,27,-2&,208,4.19,-1.4%,Dati della Protezione Civile del 30 Gennaio 2021 ore 19:37,2021-01-30
Toscana,603,133946,9083,244,743,8%,648,17,-1.7&,95,2.55,-5%,Dati della Protezione Civile del 30 Gennaio 2021 ore 19:37,2021-01-30
Umbria,228,35757,5511,626,401,7%,346,39,-0.9&,55,6.25,3.8%,Dati della Protezione Civile del 30 Gennaio 2021 ore 19:37,2021-01-30
Valle d'Aosta,1,7781,248,198,39,16%,35,28,-2.8&,4,3.19,0%,Dati della Protezione Civile del 30 Gennaio 2021 ore 19:37,2021-01-30
Veneto,792,311686,34677,707,1660,5%,1438,29,-4.7&,222,4.52,-7.5%,Dati della Protezione Civile del 30 Gennaio 2021 ore 19:37,2021-01-30
Abruzzo,402,42846,10487,803,429,4%,383,29,-1.5&,46,3.52,7%,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31
Basilicata,29,13231,5424,974,68,1%,66,12,-5.7&,2,0.36,0%,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31
Calabria,193,32747,8909,463,296,3%,276,14,1.5&,20,1.04,11.1%,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31
Campania,1401,222185,62422,1079,1516,2%,1417,24,-1.3&,99,1.71,7.6%,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31
Emilia-Romagna,1277,218651,46868,1049,2318,5%,2112,47,-0.6&,206,4.61,1.5%,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31
Friuli Venezia Giulia,396,67534,11333,936,650,6%,590,49,-1&,60,4.95,5.3%,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31
Lazio,943,205448,63201,1077,2672,4%,2388,41,-0.8&,284,4.84,0.7%,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31
Liguria,307,69668,4436,287,677,15%,612,40,4.1&,65,4.21,4.8%,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31
Lombardia,1438,538054,51077,506,3865,8%,3503,35,1.4&,362,3.58,-4%,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31
Marche,362,55487,9258,610,601,6%,529,35,-2.4&,72,4.74,1.4%,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31
Molise,93,8354,1159,383,67,6%,58,19,7.4&,9,2.98,12.5%,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31
P.A. Bolzano,467,40167,4618,868,255,6%,223,42,3.2&,32,6.01,0%,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31
P.A. Trento,135,27527,2469,455,213,9%,178,33,2.9&,35,6.45,0%,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31
Piemonte,538,223097,12312,284,2268,18%,2122,49,-0.2&,146,3.36,-2.7%,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31
Puglia,1069,122907,52744,1316,1561,3%,1397,35,0.6&,164,4.09,0.6%,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31
Sardegna,167,38537,15980,980,485,3%,446,27,-0.9&,39,2.39,0%,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31
Sicilia,716,136103,42289,851,1529,4%,1325,27,-1.5&,204,4.11,-1.9%,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31
Toscana,510,134456,9175,246,744,8%,648,17,0&,96,2.58,1.1%,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31
Umbria,294,36051,5629,639,415,7%,361,41,4.3&,54,6.13,-1.8%,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31
Valle d'Aosta,16,7797,233,186,35,15%,32,25,-8.6&,3,2.39,-25%,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31
Veneto,499,312185,33945,692,1647,5%,1430,29,-0.6&,217,4.42,-2.3%,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31
Abruzzo,161,43007,10436,799,448,4%,401,31,4.7&,47,3.6,2.2%,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01
Basilicata,13,13244,4954,890,73,1%,71,13,7.6&,2,0.36,0%,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01
Calabria,195,32942,8679,451,297,3%,276,14,0&,21,1.09,5%,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01
Campania,994,223179,62333,1077,1534,2%,1437,25,1.4&,97,1.68,-2%,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01
Emilia-Romagna,1051,219702,46607,1043,2388,5%,2181,49,3.3&,207,4.63,0.5%,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01
Friuli Venezia Giulia,129,67663,11309,934,654,6%,593,49,0.5&,61,5.04,1.7%,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01
Lazio,717,206165,61490,1048,2661,4%,2373,40,-0.6&,288,4.91,1.4%,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01
Liguria,149,69817,4566,296,696,15%,631,41,3.1&,65,4.21,0%,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01
Lombardia,1093,539147,48475,480,3860,8%,3489,35,-0.4&,371,3.67,2.5%,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01
Marche,189,55676,9172,604,607,7%,535,35,1.1&,72,4.74,0%,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01
Molise,54,8408,1206,399,70,6%,61,20,5.2&,9,2.98,0%,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01
P.A. Bolzano,316,40483,4779,898,267,6%,233,44,4.5&,34,6.39,6.3%,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01
P.A. Trento,53,27580,2503,461,215,9%,180,33,1.1&,35,6.45,0%,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01
Piemonte,514,223611,12264,282,2304,19%,2151,50,1.4&,153,3.52,4.8%,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01
Puglia,379,123286,52084,1299,1582,3%,1411,35,1&,171,4.27,4.3%,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01
Sardegna,123,38660,15556,954,478,3%,439,27,-1.6&,39,2.39,0%,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01
Sicilia,766,136869,42202,849,1540,4%,1336,27,0.8&,204,4.11,0%,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01
Toscana,373,134829,9282,249,757,8%,656,18,1.2&,101,2.71,5.2%,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01
Umbria,143,36194,5643,641,421,7%,363,41,0.6&,58,6.59,7.4%,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01
Valle d'Aosta,3,7800,229,182,36,16%,33,26,3.1&,3,2.39,0%,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01
Veneto,510,312695,33820,689,1624,5%,1410,29,-1.4&,214,4.36,-1.4%,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01
Abruzzo,210,43214,10062,771,458,5%,414,32,3.2&,44,3.37,-6.4%,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02
Basilicata,55,13299,3861,693,74,2%,72,13,1.4&,2,0.36,0%,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02
Calabria,166,33108,8614,448,288,3%,264,14,-4.3&,24,1.25,14.3%,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02
Campania,919,224098,61859,1069,1583,3%,1480,26,3&,103,1.78,6.2%,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02
Emilia-Romagna,879,220575,45312,1014,2374,5%,2176,49,-0.2&,198,4.43,-4.3%,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02
Friuli Venezia Giulia,258,67921,11226,927,640,6%,579,48,-2.4&,61,5.04,0%,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02
Lazio,842,207007,60773,1036,2625,4%,2336,40,-1.6&,289,4.93,0.3%,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02
Liguria,238,70055,4385,284,694,16%,630,41,-0.2&,64,4.15,-1.5%,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02
Lombardia,912,540059,46559,461,3905,8%,3544,35,1.6&,361,3.57,-2.7%,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02
Marche,333,56009,8681,572,612,7%,544,36,1.7&,68,4.48,-5.6%,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02
Molise,31,8439,1178,390,66,6%,58,19,-4.9&,8,2.65,-11.1%,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02
P.A. Bolzano,639,41122,5008,941,267,5%,233,44,0&,34,6.39,0%,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02
P.A. Trento,172,27752,2396,441,208,9%,174,32,-3.3&,34,6.26,-2.9%,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02
Piemonte,765,224376,12125,279,2290,19%,2138,49,-0.6&,152,3.5,-0.7%,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02
Puglia,879,124165,51702,1290,1602,3%,1432,36,1.5&,170,4.24,-0.6%,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02
Sardegna,71,38731,15192,932,464,3%,430,26,-2.1&,34,2.09,-12.8%,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02
Sicilia,984,137853,41613,838,1529,4%,1327,27,-0.7&,202,4.07,-1%,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02
Toscana,399,135228,9202,247,778,8%,669,18,2&,109,2.93,7.9%,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02
Umbria,283,36477,5772,656,430,7%,369,42,1.7&,61,6.93,5.2%,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02
Valle d'Aosta,4,7804,201,160,28,14%,25,20,-24.2&,3,2.39,0%,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02
Veneto,621,313316,32044,653,1616,5%,1423,29,0.9&,193,3.93,-9.8%,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02
Abruzzo,449,43663,10019,767,474,5%,427,33,3.1&,47,3.6,6.8%,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03
Basilicata,68,13367,3421,614,71,2%,70,13,-2.8&,1,0.18,-50%,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03
Calabria,318,33426,8630,448,276,3%,253,13,-4.2&,23,1.19,-4.2%,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03
Campania,1539,225637,62117,1074,1575,3%,1475,25,-0.3&,100,1.73,-2.9%,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03
Emilia-Romagna,1047,221615,44402,994,2316,5%,2122,48,-2.5&,194,4.34,-2%,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03
Friuli Venezia Giulia,692,68613,11180,923,624,6%,561,46,-3.1&,63,5.2,3.3%,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03
Lazio,1164,208171,59769,1019,2629,4%,2350,40,0.6&,279,4.76,-3.5%,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03
Liguria,233,70288,4439,288,705,16%,641,42,1.7&,64,4.15,0%,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03
Lombardia,1738,541797,47345,469,3913,8%,3554,35,0.3&,359,3.55,-0.6%,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03
Marche,408,56417,8353,550,603,7%,535,35,-1.7&,68,4.48,0%,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03
Molise,78,8517,1182,391,71,6%,65,22,12.1&,6,1.99,-25%,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03
P.A. Bolzano,653,41775,5750,1081,273,5%,241,45,3.4&,32,6.01,-5.9%,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03
P.A. Trento,261,28013,2495,460,191,8%,158,29,-9.2&,33,6.08,-2.9%,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03
Piemonte,819,225195,12052,278,2239,19%,2092,48,-2.2&,147,3.39,-3.3%,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03
Puglia,1044,125209,51715,1290,1584,3%,1429,36,-0.2&,155,3.87,-8.8%,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03
Sardegna,143,38874,14838,910,445,3%,416,26,-3.3&,29,1.78,-14.7%,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03
Sicilia,886,138739,41122,828,1510,4%,1317,27,-0.8&,193,3.88,-4.5%,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03
Toscana,551,135779,9345,251,772,8%,663,18,-0.9&,109,2.93,0%,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03
Umbria,458,36935,5999,681,431,7%,367,42,-0.5&,64,7.27,4.9%,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03
Valle d'Aosta,11,7815,189,151,32,17%,29,23,16&,3,2.39,0%,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03
Veneto,629,313945,30360,619,1482,5%,1306,27,-8.2&,176,3.59,-8.8%,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03
Abruzzo,526,44189,10243,784,499,5%,452,35,5.9&,47,3.6,0%,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04
Basilicata,68,13435,3436,617,72,2%,71,13,1.4&,1,0.18,0%,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04
Calabria,202,33628,8543,444,281,3%,256,13,1.2&,25,1.3,8.7%,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04
Campania,1544,227181,62349,1078,1568,3%,1468,25,-0.5&,100,1.73,0%,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04
Emilia-Romagna,1192,222804,43809,981,2234,5%,2046,46,-3.6&,188,4.21,-3.1%,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04
Friuli Venezia Giulia,355,68968,11261,930,614,5%,550,45,-2&,64,5.28,1.6%,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04
Lazio,1174,209345,58026,989,2581,4%,2308,39,-1.8&,273,4.65,-2.2%,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04
Liguria,489,70777,4403,285,691,16%,627,41,-2.2&,64,4.15,0%,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04
Lombardia,1746,543543,46896,464,3901,8%,3539,35,-0.4&,362,3.58,0.8%,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04
Marche,480,56897,8112,534,605,7%,529,35,-1.1&,76,5.01,11.8%,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04
Molise,80,8597,1228,406,73,6%,62,21,-4.6&,11,3.64,83.3%,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04
P.A. Bolzano,747,42522,5891,1107,284,5%,249,47,3.3&,35,6.58,9.4%,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04
P.A. Trento,240,28253,2442,450,176,7%,144,27,-8.9&,32,5.9,-3%,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04
Piemonte,807,226002,12030,277,2208,18%,2065,48,-1.3&,143,3.29,-2.7%,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04
Puglia,975,126184,51430,1283,1578,3%,1420,35,-0.6&,158,3.94,1.9%,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04
Sardegna,205,39079,14751,905,426,3%,398,24,-4.3&,28,1.72,-3.4%,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04
Sicilia,789,139528,40654,818,1473,4%,1286,26,-2.4&,187,3.76,-3.1%,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04
Toscana,760,136539,9690,260,754,8%,642,17,-3.2&,112,3.01,2.8%,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04
Umbria,373,37308,6191,703,438,7%,372,42,1.4&,66,7.5,3.1%,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04
Valle d'Aosta,11,7826,188,150,30,16%,27,22,-6.9&,3,2.39,0%,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04
Veneto,896,314841,28704,585,1408,5%,1232,25,-5.7&,176,3.59,0%,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04
Abruzzo,276,44464,10226,783,501,5%,453,35,0.2&,48,3.68,2.1%,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05
Basilicata,89,13524,3341,600,86,3%,84,15,18.3&,2,0.36,100%,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05
Calabria,239,33867,8347,434,287,3%,261,14,2&,26,1.35,4%,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05
Campania,1665,228846,63319,1094,1593,3%,1490,26,1.5&,103,1.78,3%,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05
Emilia-Romagna,1364,224164,43136,966,2172,5%,1990,45,-2.7&,182,4.07,-3.2%,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05
Friuli Venezia Giulia,446,69414,11055,913,601,5%,536,44,-2.5&,65,5.37,1.6%,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05
Lazio,1141,210486,56821,969,2536,4%,2264,39,-1.9&,272,4.64,-0.4%,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05
Liguria,332,71109,4487,291,693,15%,631,41,0.6&,62,4.02,-3.1%,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05
Lombardia,2504,546047,48202,477,3908,8%,3549,35,0.3&,359,3.55,-0.8%,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05
Marche,414,57311,7927,522,606,8%,532,35,0.6&,74,4.87,-2.6%,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05
Molise,101,8698,1293,428,75,6%,65,22,4.8&,10,3.31,-9.1%,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05
P.A. Bolzano,687,43209,6373,1198,290,5%,255,48,2.4&,35,6.58,0%,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05
P.A. Trento,202,28455,2515,463,174,7%,142,26,-1.4&,32,5.9,0%,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05
Piemonte,936,226938,12195,281,2168,18%,2021,47,-2.1&,147,3.39,2.8%,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05
Puglia,1215,127399,51026,1273,1584,3%,1416,35,-0.3&,168,4.19,6.3%,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05
Sardegna,169,39248,14706,902,432,3%,403,25,1.3&,29,1.78,3.6%,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05
Sicilia,616,140144,39554,796,1426,4%,1244,25,-3.3&,182,3.66,-2.7%,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05
Toscana,703,137242,10092,271,748,7%,643,17,0.2&,105,2.82,-6.3%,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05
Umbria,443,37751,6398,727,443,7%,377,43,1.3&,66,7.5,0%,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05
Valle d'Aosta,8,7834,179,143,28,16%,25,20,-7.4&,3,2.39,0%,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05
Veneto,668,315509,27926,569,1366,5%,1194,24,-3.1&,172,3.5,-2.3%,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05
Abruzzo,509,44972,10552,808,510,5%,461,35,1.8&,49,3.75,2.1%,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37,2021-02-06
Basilicata,85,13609,3277,588,85,3%,84,15,0&,1,0.18,-50%,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37,2021-02-06
Calabria,197,34064,8142,423,276,3%,249,13,-4.6&,27,1.4,3.8%,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37,2021-02-06
